"agentId","agentName","questId","questName","status","reason","elapsedSeconds","startMapId","endMapId","mapTrail"
"1176","QuestReg20","28257","Who Broke the Seal of Andras?","FAILED","requested quest 28257 is not currently executable","4.1","104010000","104010000","104010000"
"1176","QuestReg20","28258","Who Broke the Seal of Valefor?","FAILED","requested quest 28258 is not currently executable","4.1","104010000","104010000","104010000"
"1176","QuestReg20","28260","Who Broke the Seal of Crocell?","FAILED","requested quest 28260 is not currently executable","4.1","104010000","104010000","104010000"
"1176","QuestReg20","28262","Revealed Identity","FAILED","requested quest 28262 is not currently executable","4.1","104010000","104010000","104010000"
"1176","QuestReg20","2122","Manji and the Secret Group","TIMEOUT_TRAVEL","time budget expired after 8 minute(s); quest not yet accepted; travel to the start NPC still in progress","498.7","104010000","103020100","104010000>103030000>103020200>103020100"
