"agentId","agentName","questId","questName","status","reason","elapsedSeconds","startMapId","endMapId","mapTrail"
"1177","QuestReg25","2017","Arwen and the Glass Shoe","TIMEOUT","no terminal outcome within 8 minute(s)","484.9","104000100","101000000","104000100>104000200>104000300>104000400>104010000>104020000>104030000>104040000>100000000>100010000>100020000>100030000>100040000>100040100>100050000>101000000"
"1177","QuestReg25","2010","Resume quest — Jane and the Wild Boar","TIMEOUT","no terminal outcome within 8 minute(s)","484.8","101000000","100000100","101000000>101000002>101000000>101010000>101010100>101010101>101010102>101010103>105040300>105040000>106010100>106010000>100000000>100000100"
"1177","QuestReg25","2108","POLLUTED! <1-Evil Eye>","TIMEOUT","no terminal outcome within 8 minute(s)","484.9","100000100","105050200","100000100>100000000>100000002>100000003>100000002>100000000>106010000>106010100>105040000>105040300>105050000>105050100>105050200"
