"agentId","agentName","questId","questName","status","reason","elapsedSeconds","startMapId","endMapId","mapTrail"
"1177","QuestReg25","2010","Jane and the Wild Boar","FAILED","requested quest 2010 was suspended by the bounded struggle policy","184.9","104000000","104000000","104000000"
"1177","QuestReg25","2108","POLLUTED! <1-Evil Eye>","TIMEOUT","time budget expired after 7 minute(s); quest not yet accepted; travel to the start NPC still in progress","436.2","104000000","104010000","104000000>104000100>104000200>104000300>104000400>104010000"
